'XOM','PSX','PX','LMT','UPS','DAL','CMCSA','LOW','TJX','GM','KO','PEP','PG','JNJ','SYK','BDX','MDT','BRK-B','TRV','CCI','MMC','CB','ADP','EMC','ACN','MSFT','MA','IBM','VZ','D'
0.028764274,0.02164155,0.036327631,0.039062659,0.039170595,0.02089069,0.030229691,0.028449572,0.026759097,0.027955853,0.0415467,0.041606332,0.050227111,0.042028653,0.039361117,0.03636179,0.03134323,0.040537041,0.032944286,0.03222315,0.030909282,0.031116048,0.022462284,0.021644004,0.036227138,0.027584408,0.004879825,0.039889815,0.050196181,0.047659994
0.029231379,0.021992989,0.036917558,0.050481606,0.050621094,0.026997537,0.035821188,0.033711806,0.03170865,0.010304659,0.01531431,0.015336291,0.044264729,0.037039497,0.034688621,0.035066703,0.030226887,0.039093246,0.041162981,0.040261941,0.038620299,0.035453836,0.025593679,0.024661325,0.043649751,0.033236203,0.005879657,0.038417422,0.048343364,0.045900792
0.027015605,0.020325893,0.034119162,0.035655827,0.03575435,0.019068718,0.031724656,0.029856504,0.02808243,0.025700127,0.038194345,0.038249166,0.04889931,0.040917586,0.038320569,0.03477977,0.029979556,0.038773365,0.039916678,0.039042919,0.037450981,0.040062987,0.028920967,0.027867403,0.044886737,0.034178081,0.00604628,0.030757326,0.038704122,0.036748577
0.026555856,0.019979989,0.033538525,0.03175662,0.031844368,0.016983424,0.032219066,0.030321799,0.028520077,0.022168681,0.032946071,0.032993359,0.047743365,0.039950323,0.037414697,0.030514563,0.026303022,0.034018405,0.035714715,0.034932935,0.033508578,0.037399619,0.026998315,0.026014791,0.047254331,0.035980837,0.006365197,0.04635128,0.0583271,0.055380094
0.034234653,0.025757332,0.043236406,0.033204885,0.033296635,0.017757955,0.034580532,0.032544207,0.03061043,0.023284325,0.034604091,0.034653758,0.040770279,0.034115438,0.03195015,0.034497347,0.029736112,0.038458513,0.030868244,0.030192552,0.028961479,0.049360018,0.035632377,0.034334322,0.049279751,0.037523051,0.006638022,0.031830867,0.040055036,0.038031235
0.034262758,0.025778477,0.043271901,0.033117614,0.033209123,0.017711283,0.029800322,0.028045487,0.026379023,0.025323183,0.037634147,0.037688164,0.044519155,0.037252394,0.034888005,0.033176581,0.028597634,0.036986089,0.038254092,0.037416726,0.035891095,0.040967199,0.029573707,0.028496364,0.047847915,0.036432809,0.006445153,0.032154183,0.040461887,0.03841753
0.032361734,0.024348192,0.040871017,0.043544821,0.043665142,0.023287748,0.034059664,0.032054012,0.030149362,0.028004781,0.041619415,0.041679151,0.04613588,0.038605224,0.036154972,0.035529358,0.030625687,0.039609025,0.036062396,0.035273005,0.033834783,0.040559336,0.029279275,0.028212658,0.009828222,0.007483497,0.00132387,0.039337215,0.049500805,0.046999753
0.03021149,0.0227304,0.038155382,0.026863247,0.026937474,0.014366451,0.0345803,0.032543989,0.030610224,0.031887775,0.047390141,0.047458161,0.039727441,0.03324282,0.031132917,0.034228372,0.02950426,0.038158652,0.036197282,0.035404939,0.033961337,0.041967206,0.030295599,0.029191958,0.036389758,0.027708232,0.00490173,0.038878127,0.048923101,0.046451238
0.035318852,0.026573057,0.044605687,0.024926792,0.024995669,0.013330836,0.02871164,0.027020913,0.02541533,0.02629001,0.039071002,0.039127081,0.04957788,0.041485394,0.038852339,0.029838113,0.025719934,0.033264282,0.040082924,0.039205526,0.037606958,0.045059937,0.032528203,0.031343231,0.047458991,0.036136671,0.006392765,0.031872234,0.040107091,0.03808066
0.02678524,0.020152572,0.033828224,0.030966052,0.031051616,0.016560629,0.030329795,0.028543781,0.026847709,0.03157578,0.046926469,0.046993823,0.04219633,0.035308718,0.033067693,0.033455284,0.028837871,0.037296794,0.041123308,0.040223137,0.038583077,0.03389138,0.024465761,0.023574496,0.044516333,0.033896045,0.005996386,0.038517076,0.048468766,0.046019857
0.030110363,0.022654315,0.038027664,0.033982584,0.034076483,0.018173869,0.035890072,0.033776633,0.031769625,0.026430629,0.039279982,0.039336361,0.0413666,0.034614423,0.032417464,0.033106857,0.028537534,0.03690836,0.040819819,0.03992629,0.038298334,0.038170757,0.02755499,0.026551187,0.039473054,0.030055944,0.005317052,0.035727475,0.044958413,0.042686867
0.036172322,0.027215188,0.045683572,0.03817546,0.038280945,0.020416217,0.033244988,0.031287309,0.029428216,0.029182553,0.043369765,0.043432014,0.038159115,0.031930488,0.029903878,0.031361404,0.027032983,0.034962484,0.036356473,0.035560645,0.034110694,0.039069907,0.028204075,0.027176627,0.047928363,0.036494064,0.006455989,0.028786447,0.036224026,0.034393789
0.030003802,0.022574141,0.037893083,0.033130394,0.033221939,0.017718118,0.034865111,0.032812028,0.030862337,0.027489294,0.040853323,0.04091196,0.041589558,0.034800988,0.032592188,0.0310513,0.02676568,0.034616773,0.039174394,0.038316883,0.036754549,0.037302531,0.026928229,0.025947258,0.049158778,0.037430939,0.006621727,0.034349011,0.043223794,0.041039891
0.029667666,0.02232124,0.037468563,0.04102878,0.041142149,0.02194217,0.035961617,0.033843966,0.031832956,0.027872669,0.041423076,0.041482531,0.040928589,0.034247908,0.032074212,0.033398738,0.02878913,0.037233755,0.036320502,0.035525462,0.034076945,0.03530125,0.025483529,0.024555187,0.042648963,0.032474174,0.00574485,0.033363458,0.041983604,0.039862361
0.027588752,0.020757116,0.034843014,0.040541992,0.040654015,0.021681836,0.032212805,0.030315907,0.028514536,0.02937097,0.043649782,0.043712433,0.041859535,0.035026897,0.032803759,0.0339071,0.02922733,0.037800491,0.032291627,0.031584777,0.030296938,0.042623888,0.030769649,0.029648739,0.039698454,0.03022757,0.005347414,0.035631886,0.044838127,0.042572658
0.026467975,0.01991387,0.033427537,0.036836775,0.036938561,0.019700288,0.031660104,0.029795753,0.028025288,0.02745317,0.040799636,0.040858196,0.056174383,0.047005165,0.044021773,0.03751515,0.032337406,0.041822836,0.032593227,0.031879775,0.030579908,0.03865346,0.027903447,0.026886951,0.035674902,0.027163919,0.004805438,0.03275407,0.041216768,0.03913427
0.029082299,0.021880824,0.036729278,0.031978681,0.032067043,0.017102182,0.037488299,0.035280746,0.033184364,0.025065346,0.037250962,0.037304428,0.051682595,0.043246562,0.040501726,0.028910587,0.024920422,0.032230251,0.035992079,0.035204228,0.03376881,0.039033877,0.028178066,0.027151565,0.036943621,0.028129959,0.004976336,0.039012033,0.049091605,0.046611227